kyBP,Prec_5KYR_AVG_DIFF,Humidity_5kyr_AVG_DIFF,Humidity_5kyr_AVG_DIFF_1,Humidity_3kyr_AVG_DIFF,Prec_3KYR_AVG_DIFF
188.5,0.005318182,-0.15,0.85,0.333256638,0.004785714
189,0.005590909,-0.301,0.699,0.299718373,0.005357143
189.5,0.005727273,-0.28,0.72,0.320979753,0.005714286
190,0.005727273,-0.342,0.658,0.191110658,0.006
190.5,0.005590909,-0.466,0.534,-0.475385766,0.006071429
191,0.005318182,-0.587,0.413,-0.526291967,0.006071429
191.5,0.005,-0.673,0.327,-0.608904121,0.006
192,0.0045,-0.76,0.24,-0.723269717,0.005714286
192.5,0.003954545,-0.833,0.167,-0.910486884,0.005357143
193,0.003272727,-0.839,0.161,-1.155578291,0.004785714
193.5,0.002636364,-0.784,0.216,-1.14320894,0.004285714
194,0.001818182,-0.402,0.598,-0.624870898,0.0035
194.5,0.001045455,-0.309,0.691,-0.536154515,0.002785714
195,0.000136364,-0.214,0.786,-0.556830346,0.001857143
195.5,-0.000636364,-0.125,0.875,-0.50352987,0.001142857
196,-0.0015,0.183,1.183,-0.37394453,0.000142857
196.5,-0.002227273,0.466,1.466,-0.090310739,-0.000642857
197,-0.003045455,0.497,1.497,0.111756821,-0.001642857
197.5,-0.003681818,0.488,1.488,0.273894753,-0.002357143
198,-0.004318182,0.643,1.643,0.6866249,-0.003214286
198.5,-0.004818182,0.69,1.69,0.893681341,-0.003857143
199,-0.005318182,0.675,1.675,0.870323808,-0.004642857
199.5,-0.005636364,0.623,1.623,0.773348907,-0.005142857
200,-0.005863636,0.558,1.558,0.960968737,-0.005642857
200.5,-0.005954545,0.363,1.363,0.86452439,-0.005928571
201,-0.005954545,0.141,1.141,0.753185697,-0.006214286
201.5,-0.005863636,-0.177,0.823,0.317284116,-0.006357143
202,-0.005636364,-0.301,0.699,0.055075454,-0.006357143
202.5,-0.005318182,-0.236,0.764,-0.099716173,-0.006214286
203,-0.004818182,-0.126,0.874,-0.2713404,-0.005928571
203.5,-0.004318182,-0.145,0.855,-0.603035164,-0.005642857
204,-0.003636364,-0.039,0.961,-0.664581499,-0.005142857
204.5,-0.002954545,-0.035,0.965,-0.561086179,-0.004642857
205,-0.002136364,0.006,1.006,-0.403551745,-0.003857143
